time,ax,ay,az,atotal
4.663,0.12,0.09,-0.65,0.67
4.673,-1.82,-0.78,-1.04,2.23
4.683,-0.26,-0.65,1.45,1.61
4.693,2.08,1.53,1.66,3.07
4.703,0.58,0.56,-0.24,0.84
4.713,-0.9,-0.66,-2.09,2.37
4.723,0.01,0.02,-0.74,0.74
4.733,0,0.09,1.02,1.02
4.743,-0.01,0.12,1.56,1.56
4.753,-0.02,0.02,0.24,0.24
4.763,-0.03,-0.01,-1.22,1.22
4.773,-0.04,-0.04,-0.88,0.88
4.783,-0.03,0.06,0.42,0.42
4.793,-0.08,0.09,0.96,0.96
4.803,0.01,0.03,0.23,0.23
4.813,0.01,-0.01,-0.71,0.71
4.823,-0.03,0,-0.62,0.62
4.832,-0.03,0.06,0.2,0.21
4.842,-0.02,0.04,0.58,0.58
4.852,0.09,0.03,0.11,0.15
4.862,-0.11,0.02,-0.47,0.48
4.872,-0.03,0.01,-0.36,0.36
4.882,-0.03,0.05,0.16,0.17
4.892,-0.02,0.05,0.42,0.42
4.902,-0.02,0.02,0,0.03
4.912,-0.02,0.01,-0.31,0.31
4.922,-0.02,0.01,-0.22,0.23
4.932,-0.02,0.04,0.17,0.17
4.942,-0.03,0.04,0.27,0.27
4.952,-0.01,0.03,-0.05,0.06
4.962,-0.02,0.01,-0.26,0.26
4.972,-0.02,0.02,-0.12,0.12
4.982,-0.02,0.03,0.16,0.17
4.992,-0.03,0.04,0.18,0.18
5.002,-0.02,0.01,-0.08,0.08
5.012,-0.02,0.01,-0.21,0.21
5.022,-0.02,0.03,-0.04,0.06
5.032,-0.02,0.04,0.17,0.18
5.042,-0.01,0.03,0.09,0.1
5.052,-0.01,0.03,-0.12,0.12
5.062,0.49,-0.06,-0.35,0.6
5.072,-0.56,0.18,-1.14,1.28
5.081,-3.3,0.16,1.01,3.45
5.092,-0.52,-0.21,0.57,0.79
5.101,2.82,-0.11,1.07,3.02
5.111,1.71,0.28,-1.08,2.05
5.122,-0.76,-0.12,-1.23,1.45
5.131,-0.19,0,-0.02,0.19
5.141,0.09,0.11,1.24,1.25
5.151,-0.05,0.06,0.75,0.75
5.161,-0.01,0.02,-0.39,0.39
5.171,-0.04,-0.03,-0.98,0.98
5.181,-0.03,0.01,-0.1,0.1
5.191,-0.03,0.06,0.58,0.59
5.201,-0.08,0.06,0.49,0.5
5.211,0,0,-0.29,0.29
5.221,0,-0.01,-0.6,0.6
5.231,-0.03,0.02,-0.13,0.13
5.241,-0.03,0.05,0.4,0.4
5.251,-0.02,0.03,0.32,0.32
5.261,-0.01,0.02,-0.21,0.21
5.271,0.01,0.02,-0.4,0.4
5.281,-0.03,0.02,-0.09,0.09
5.291,-0.04,0.04,0.28,0.29
5.301,-0.01,0.03,0.19,0.19
5.311,-0.03,0.02,-0.15,0.15
5.321,-0.02,0.01,-0.24,0.24
5.331,-0.02,0.02,-0.01,0.03
5.34,-0.03,0.04,0.23,0.23
5.35,-0.02,0.03,0.08,0.09
5.36,-0.03,0.02,-0.15,0.16
5.37,-0.03,0.02,-0.16,0.17
5.38,-0.02,0.03,0.04,0.06
5.39,-0.02,0.04,0.18,0.18
5.4,-0.02,0.03,0.03,0.05
5.41,-0.03,0.02,-0.15,0.15
5.42,-0.02,0.03,-0.1,0.11
5.43,-0.03,0.03,0.08,0.08
5.44,-0.03,0.03,0.13,0.13
5.45,-0.03,0.03,-0.03,0.05
5.46,-0.02,0.03,-0.14,0.14
5.47,-0.01,0.04,-0.06,0.07
5.48,0.2,0.16,-0.42,0.49
5.49,-0.42,0.66,-1.26,1.48
5.5,-0.51,-0.21,1.59,1.69
5.51,0.91,-0.8,1.18,1.69
5.52,-0.32,0.47,0.26,0.63
5.53,-0.01,-0.13,-1.61,1.62
5.539,-0.03,0,-0.99,0.99
5.549,-0.05,0.01,0.48,0.48
5.559,-0.01,0.15,1.45,1.46
5.569,-0.01,0.04,0.56,0.56
5.579,-0.01,-0.02,-0.88,0.88
5.589,-0.04,-0.04,-0.99,1
5.599,-0.03,0.04,0.12,0.13
5.609,-0.02,0.08,0.83,0.83
5.619,-0.02,0.04,0.51,0.51
5.629,-0.01,0,-0.46,0.46
5.639,-0.03,-0.01,-0.7,0.7
5.649,-0.02,-0.01,-0.07,0.07
5.659,-0.01,0,0.48,0.48
5.669,-0.05,0.12,0.3,0.32
5.679,-0.02,0.01,-0.3,0.3
5.689,-0.03,0.02,-0.41,0.41
5.699,-0.02,0.04,0,0.05
5.709,-0.02,0.05,0.34,0.34
5.719,-0.02,0.03,0.13,0.13
5.729,-0.02,0.01,-0.21,0.21
5.739,-0.03,0.01,-0.26,0.26
5.749,-0.03,0.04,0.05,0.07
5.759,-0.03,0.04,0.26,0.26
5.769,-0.02,0.03,0.03,0.04
5.779,-0.02,0.01,-0.21,0.21
5.788,-0.02,0.01,-0.15,0.15
5.798,-0.02,0.03,0.12,0.12
